Date,lag1,lag2,lag3,lag4,lag5,RSI,StdDev,Momentum,macd,atr,sar,candelstatus
2016.01.08,0.01491,0.00385,-0.00883,-0.00425,-0.00663,53.98034133,0.00738462,100.7299606,0.00175983,0.00956071,1.09753541,0
2016.01.11,-0.00032,0.01491,0.00385,-0.00883,-0.00425,53.30445671,0.00728781,100.0531442,0.00148692,0.00993714,1.07071,0
2016.01.12,-0.00608,-0.00032,0.01491,0.00385,-0.00883,49.09775374,0.00689886,99.10736289,0.00116043,0.00986286,1.0712342,0
2016.01.13,-0.00018,-0.00608,-0.00032,0.01491,0.00385,48.86626958,0.00621758,99.5022641,0.00083521,0.00987214,1.07174792,1
2016.01.14,0.00215,-0.00018,-0.00608,-0.00032,0.01491,50.45696308,0.00605066,99.30610083,0.00052268,0.01002571,1.07225136,0
2016.01.15,-0.00123,0.00215,-0.00018,-0.00608,-0.00032,49.50052525,0.00571101,99.06715908,0.00026574,0.01050071,1.07274473,1
2016.01.18,0.00479,-0.00123,0.00215,-0.00018,-0.00608,53.5249537,0.00614252,99.9844301,0.0001387,0.01062,1.07377134,0
2016.01.19,-0.00262,0.00479,-0.00123,0.00215,-0.00018,51.33869466,0.00602002,99.63132376,0.00017001,0.01052786,1.07475689,1
2016.01.20,0.00164,-0.00262,0.00479,-0.00123,0.00215,52.64750351,0.00422573,100.3311532,0.00030535,0.01093429,1.07570301,0
2016.01.21,-0.00189,0.00164,-0.00262,0.00479,-0.00123,50.9642837,0.00258475,100.5429563,0.00037182,0.01135643,1.07661129,0
2016.01.22,-0.00154,-0.00189,0.00164,-0.00262,0.00479,49.63013439,0.0022308,101.2335565,0.00037916,0.01079714,1.07748324,0
2016.01.25,-0.00802,-0.00154,-0.00189,0.00164,-0.00262,42.78893629,0.00335509,100.1029694,0.00032076,0.010365,1.07773,1
2016.01.26,0.00574,-0.00802,-0.00154,-0.00189,0.00164,48.08492238,0.00345849,99.2570294,0.00026497,0.01010929,1.0785572,1
2016.01.27,0.00209,0.00574,-0.00802,-0.00154,-0.00189,49.91875883,0.00342818,99.53569303,0.00021133,0.00936929,1.07889,1
2016.01.28,0.00241,0.00209,0.00574,-0.00802,-0.00154,52.02327901,0.00341661,100.3168025,0.00019233,0.00914,1.0796708,1
2016.01.29,0.0046,0.00241,0.00209,0.00574,-0.00802,55.79206705,0.00386422,100.76646,0.00019431,0.00925929,1.08042037,0
2016.02.01,-0.01064,0.0046,0.00241,0.00209,0.00574,46.53184311,0.00393295,99.58534836,0.00014117,0.00938786,1.08095,1
2016.02.02,0.00556,-0.01064,0.0046,0.00241,0.00209,51.1136628,0.00392984,100.2144659,0.00008056,0.00919643,1.08095,1
2016.02.03,0.00306,0.00556,-0.01064,0.0046,0.00241,53.46049801,0.00413811,100.0119083,0.00005848,0.01014714,1.08138,1
2016.02.04,0.01846,0.00306,0.00556,-0.01064,0.0046,64.54288822,0.00847301,101.9502879,0.00024375,0.01043,1.0833666,1
2016.02.05,0.01041,0.01846,0.00306,0.00556,-0.01064,69.00671936,0.01307462,102.7495851,0.00075486,0.010995,1.08660767,0
2016.02.08,-0.00518,0.01041,0.01846,0.00306,0.00556,63.77243645,0.01349036,102.3483707,0.00140923,0.01134929,1.0904069,1
2016.02.09,0.00482,-0.00518,0.01041,0.01846,0.00306,65.90238415,0.01443496,102.9281392,0.00219251,0.01189929,1.09382621,1
2016.02.10,0.00999,0.00482,-0.00518,0.01041,0.01846,69.86519459,0.01621858,104.6436846,0.00313503,0.01195214,1.09861587,0
2016.02.11,-0.00034,0.00999,0.00482,-0.00518,0.01041,69.53415475,0.01686931,104.0597719,0.00414798,0.01206286,1.10283076,1
2016.02.12,0.00335,-0.00034,0.00999,0.00482,-0.00518,70.84940146,0.01750489,104.1688135,0.00532899,0.01243571,1.10769846,0
2016.02.15,-0.00726,0.00335,-0.00034,0.00999,0.00482,63.74068538,0.01443002,103.1984137,0.00650715,0.01290929,1.11188467,0
2016.02.16,-0.00871,-0.00726,0.00335,-0.00034,0.00999,57.07604595,0.01130195,101.9737985,0.00756533,0.01293071,1.1376,0
2016.02.17,-0.00111,-0.00871,-0.00726,0.00335,-0.00034,56.28294266,0.00830335,102.878641,0.0083438,0.01275214,1.1370956,0
2016.02.18,-0.00168,-0.00111,-0.00871,-0.00726,0.00335,55.04361859,0.0085696,102.1988519,0.00878762,0.01232214,1.13603378,0
2016.02.19,-0.00213,-0.00168,-0.00111,-0.00871,-0.00726,53.41399814,0.00910393,101.7191636,0.00900126,0.01213571,1.13429355,1
2016.02.22,0.00256,-0.00213,-0.00168,-0.00111,-0.00871,54.14159359,0.00949194,100.1188857,0.00899879,0.01265214,1.13208047,0
2016.02.23,-0.00876,0.00256,-0.00213,-0.00168,-0.00111,47.49244713,0.01100533,98.41081467,0.00866101,0.01137286,1.12890042,0
2016.02.24,-0.00102,-0.00876,0.00256,-0.00213,-0.00168,46.74964064,0.01089778,98.87204889,0.00805845,0.01079714,1.12530757,0
2016.02.25,-0.00055,-0.00102,-0.00876,0.00256,-0.00213,46.34078256,0.01015792,98.39799146,0.00722063,0.010265,1.12115831,1
2016.02.26,0.00044,-0.00055,-0.00102,-0.00876,0.00256,46.73301443,0.00753862,97.56555468,0.0062833,0.01046071,1.11758995,0
2016.02.29,-0.00887,0.00044,-0.00055,-0.00102,-0.00876,39.4892915,0.00748372,96.71075361,0.00526708,0.00994286,1.11335475,0
2016.03.01,-0.00447,-0.00887,0.00044,-0.00055,-0.00102,36.7353678,0.00884134,96.02628534,0.0041704,0.00928571,1.1084075,0
2016.03.02,-0.00064,-0.00447,-0.00887,0.00044,-0.00055,36.34113157,0.00935973,96.65697028,0.00303196,0.00894929,1.1034,1
2016.03.03,0.00018,-0.00064,-0.00447,-0.00887,0.00044,36.53297218,0.00921992,97.42697818,0.00189399,0.008945,1.099222,1
2016.03.04,0.00887,0.00018,-0.00064,-0.00447,-0.00887,45.72372437,0.00808888,98.31827197,0.00083865,0.00907571,1.08251,1
2016.03.07,0.0049,0.00887,0.00018,-0.00064,-0.00447,48.94617794,0.00663837,98.78582534,-0.00003061,0.00919786,1.082946,1
2016.03.08,0.00212,0.0049,0.00887,0.00018,-0.00064,50.73606699,0.00674102,99.15719714,-0.00071681,0.00913571,1.08337328,0
2016.03.09,-0.00022,0.00212,0.0049,0.00887,0.00018,50.53963881,0.00693988,99.04464615,-0.00124874,0.00920714,1.08426795,0
2016.03.10,-0.00115,-0.00022,0.00212,0.0049,0.00887,49.39228499,0.00702878,99.72345383,-0.00166793,0.01151643,1.10574,1
2016.03.11,0.01779,-0.00115,-0.00022,0.00212,0.0049,63.12940157,0.01049448,101.4366877,-0.00174716,0.01152214,1.08217,0
2016.03.14,-0.00264,0.01779,-0.00115,-0.00022,0.00212,60.50083235,0.01167169,101.2467198,-0.00154274,0.01177786,1.08217,0
2016.03.15,-0.0049,-0.00264,0.01779,-0.00115,-0.00022,55.86859912,0.01083955,100.7624442,-0.00115609,0.01151857,1.082945,1
2016.03.16,0.00037,-0.0049,-0.00264,0.01779,-0.00115,56.14166756,0.00940499,101.7211688,-0.00062929,0.012385,1.0837045,1
2016.03.17,0.01071,0.00037,-0.0049,-0.00264,0.01779,63.25000892,0.008667,103.1300589,0.00001787,0.01224429,1.08532352,1
2016.03.18,0.01028,0.01071,0.00037,-0.0049,-0.00264,68.45809537,0.01048162,104.1268234,0.0008102,0.01208357,1.08825611,0
